,codigo_estacion,institucion,fuente,nombre,altura,latitud,longitud,codigo_cuenca,nombre_sub_cuenca,cantidad_observaciones,fecha,caudal,gauge_id,gauge_name,precip_promedio,temp_max_promedio
50,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-04-13 00:00:00+00:00,1.29,4540001,Rio Grande En Paloma 1,0.0,25.6499996185303
51,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-05-20 00:00:00+00:00,0.094,4540001,Rio Grande En Paloma 1,0.0,15.6000003814697
52,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1968-06-11 00:00:00+00:00,0.083,4540001,Rio Grande En Paloma 1,0.300000011920929,17.8333339691162
53,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1969-03-30 00:00:00+00:00,0.111,4540001,Rio Grande En Paloma 1,0.0,24.5499992370605
54,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1970-03-16 00:00:00+00:00,0.26,4540001,Rio Grande En Paloma 1,0.0,26.1599998474121
55,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1973-04-20 00:00:00+00:00,16.0,4540001,Rio Grande En Paloma 1,0.0,28.1200008392334
56,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1973-05-09 00:00:00+00:00,10.7,4540001,Rio Grande En Paloma 1,0.0,27.2600002288818
57,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1973-05-20 00:00:00+00:00,9.49,4540001,Rio Grande En Paloma 1,0.5,16.0599994659424
58,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1973-06-19 00:00:00+00:00,7.9,4540001,Rio Grande En Paloma 1,0.0,25.0599994659424
59,4540001,DGA,dga_web,Rio Grande En Paloma 1,310,-30.6833000183105,-71.0500030517578,45,Rio Grande Bajo (Entre E Paloma Y Rio Hurtado),11575,1973-07-08 00:00:00+00:00,8.05,4540001,Rio Grande En Paloma 1,10.5625,15.4200000762939
